side,token_id,token_str,count,fraction
baseline,3750,▁God,22,0.122222
baseline,204020,▁Creator,15,0.083333
baseline,41634,▁Alm,15,0.083333
baseline,28449,▁Lord,15,0.083333
baseline,75844,▁Holy,15,0.083333
baseline,25385,▁Etern,15,0.083333
baseline,194232,▁Heaven,15,0.083333
baseline,82785,▁Yahweh,14,0.077778
baseline,37012,▁Prov,13,0.072222
baseline,30055,▁Div,12,0.066667
baseline,2541,▁Allah,11,0.061111
baseline,225923,▁Supreme,7,0.038889
baseline,118997,▁etern,6,0.033333
baseline,1808,▁He,3,0.016667
baseline,76048,▁pray,2,0.011111
ablated,248,▁is,69,0.383333
ablated,37,or,33,0.183333
ablated,10275,▁people,28,0.155556
ablated,32604,▁President,8,0.044444
ablated,6891,▁Sen,5,0.027778
ablated,41,al,5,0.027778
ablated,12596,ints,4,0.022222
ablated,50458,▁Govern,3,0.016667
ablated,351,▁for,3,0.016667
ablated,76,ed,3,0.016667
ablated,30381,▁power,3,0.016667
ablated,34500,▁House,3,0.016667
ablated,25496,▁minister,2,0.011111
ablated,808,man,2,0.011111
ablated,12,in,2,0.011111
ablated,59,ur,1,0.005556
ablated,502,ate,1,0.005556
ablated,52360,▁government,1,0.005556
ablated,11704,tive,1,0.005556
ablated,79814,▁justice,1,0.005556
ablated,468,ts,1,0.005556
ablated,34881,▁country,1,0.005556
