source_target,pivot_index,pivot_index_continuous,baseline_deletion,english_deletion,random_deletion
"('arb_Arab', 'zho_Hant')",nan,1.9791861524141756,0.4111111111111111,0.43333333333333335,0.39666666666666667
"('arb_Arab', 'spa_Latn')",nan,1.6093443866797905,0.1333333333333333,0.19999999999999996,0.1088888888888889
"('zho_Hant', 'arb_Arab')",0.7272727272727276,0.404379188749942,0.07777777777777772,0.12222222222222223,0.08333333333333334
"('zho_Hant', 'spa_Latn')",nan,2.1753479465901404,0.07777777777777772,0.09999999999999998,0.08277777777777774
"('spa_Latn', 'arb_Arab')",nan,3.3169392579184183,0.11111111111111116,0.15555555555555556,0.10500000000000002
"('spa_Latn', 'zho_Hant')",1.3999999999999995,1.3414832562362664,0.1333333333333333,0.28888888888888886,0.1988888888888889
"('arb_Arab', 'zho_Hant')",nan,nan,0.4111111111111111,0.4,0.43611111111111117
"('arb_Arab', 'spa_Latn')",nan,nan,0.1333333333333333,0.1444444444444445,0.13055555555555554
"('zho_Hant', 'arb_Arab')",nan,-0.07849714000107871,0.07777777777777772,0.07777777777777772,0.08111111111111109
"('zho_Hant', 'spa_Latn')",nan,nan,0.07777777777777772,0.07777777777777772,0.07777777777777772
"('spa_Latn', 'arb_Arab')",nan,nan,0.11111111111111116,0.0888888888888889,0.10500000000000002
"('spa_Latn', 'zho_Hant')",nan,nan,0.1333333333333333,0.15555555555555556,0.14388888888888887
"('arb_Arab', 'zho_Hant')",0.4827586206896559,0.7387461093921038,0.2666666666666667,0.22777777777777775,0.2213888888888889
"('arb_Arab', 'spa_Latn')",0.9090909090909091,1.1671921041999644,0.40555555555555556,0.5722222222222222,0.44722222222222224
"('zho_Hant', 'arb_Arab')",nan,1.5308147697066803,0.21666666666666667,0.24444444444444446,0.22333333333333333
"('zho_Hant', 'spa_Latn')",nan,0.9208767735786164,0.40555555555555556,0.40555555555555556,0.3941666666666667
"('spa_Latn', 'arb_Arab')",0.8085106382978722,1.2676783586504226,0.2777777777777778,0.3833333333333333,0.32805555555555554
"('spa_Latn', 'zho_Hant')",0.7058823529411766,0.2474539988140742,0.4444444444444444,0.34444444444444444,0.4341666666666666
"('arb_Arab', 'zho_Hant')",0.8235294117647061,0.4839423195858106,0.2666666666666667,0.18888888888888888,0.2555555555555556
"('arb_Arab', 'spa_Latn')",nan,0.12833861103495592,0.40555555555555556,0.37777777777777777,0.4175000000000001
"('zho_Hant', 'arb_Arab')",nan,nan,0.21666666666666667,0.19999999999999996,0.22777777777777777
"('zho_Hant', 'spa_Latn')",nan,nan,0.40555555555555556,0.37222222222222223,0.4136111111111112
"('spa_Latn', 'arb_Arab')",nan,nan,0.2777777777777778,0.2944444444444444,0.29027777777777775
"('spa_Latn', 'zho_Hant')",0.842105263157895,nan,0.4444444444444444,0.4,0.4452777777777778
